comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg,Catg  
Voto inteligente Tuto Presidente,20.0,15.0,75.0,55.0,50.0,40.0,39.25,0.0,
Rodrigo paz presidente belleza.,15.0,10.0,65.0,60.0,55.0,45.0,33.5,0.0,
"Sin embargo ustedes harán su mega fraude con el EVO, disimula mosca, se hacen los ANGELITOS",70.0,65.0,90.0,10.0,15.0,20.0,78.5,-1.0,
Sin vergüenza,75.0,80.0,70.0,5.0,0.0,10.0,83.25,-1.0,
"Este es mitómano e incapaz, da pena.",65.0,70.0,75.0,15.0,10.0,20.0,75.5,-1.0,
"El Alto dará la victoria y cuidará el voto orgánico, consecuente y patriotico desde hoy hasta el mismo día de la eleccion a la… Ver más",30.0,25.0,70.0,50.0,55.0,45.0,43.0,0.0,
Tuto presidente hastanla victoria!!!!!!!,25.0,20.0,75.0,55.0,50.0,40.0,41.5,0.0,
Tuto presidente,20.0,15.0,75.0,55.0,45.0,35.0,40.25,0.0,
Ya empezaron estos hijos de Evo a hablar evadas.,65.0,70.0,85.0,10.0,15.0,20.0,77.5,-1.0,
DEJEN DE LLORAR .....PROPONEN COSAS ABSURDAS QUE NO PODRAN CUMPLIR ..... MENTIROSOS ESTAFADORES EMBAUCADORES ......LE MIENTEN ALA POBLACION ....,80.0,75.0,85.0,5.0,10.0,15.0,84.25,-1.0,
Rodrigo paz presidente,15.0,10.0,65.0,60.0,55.0,45.0,33.5,0.0,
Pobre traumado da pena 👎👎👎👎,60.0,65.0,70.0,15.0,10.0,20.0,72.5,-1.0,
Mr best a havlado payaso evacopa de tarija,70.0,75.0,65.0,10.0,5.0,15.0,78.25,-1.0,
Ese era el discurso de los Masis ahora este le sigue el paso que mal ehhh🤦‍♀️🤦‍♀️🤦‍♀️,55.0,50.0,80.0,25.0,20.0,30.0,65.75,0.0,
Los únicos que hicieron fraude fue el MÁS está probado así que si están haciendo ruido quieren hacer mucho OJO los Socialista!!!,60.0,55.0,90.0,20.0,25.0,30.0,70.0,-1.0,
El único que puede hacer fraude es Rodrigo y Lari por que están con los vistas más fraudulentos como ellos no hay jj,70.0,65.0,85.0,15.0,20.0,25.0,75.75,-1.0,
Si por ahí nos roba los votos el PDC,55.0,50.0,80.0,25.0,20.0,30.0,65.75,0.0,
Pueblo atentos al mega fraude que prepara tuto el boca edionda con los zánganos de la OEA....todos a la calle y darles con todo a estos ladrones,85.0,80.0,90.0,5.0,10.0,15.0,87.25,-1.0,
Cual grandes mayorias diras a los del MAS,50.0,45.0,85.0,25.0,20.0,35.0,63.75,0.0,
"Van a perder (PDC) por falta de propuestas, guerra sucia, plan de gobierno escrito con chat GPT y especialmente por tener un vice psicópata.",65.0,70.0,80.0,15.0,20.0,25.0,74.75,-1.0,
Si los ladrones son tus amigos y socios masistas.,60.0,65.0,85.0,15.0,20.0,25.0,73.25,-1.0,
Se desconfía de ustedes. No de Tuto,45.0,40.0,75.0,30.0,25.0,35.0,58.5,0.0,
No sabe lo que dice ese caballerito lari lara,55.0,60.0,70.0,20.0,15.0,25.0,68.25,-1.0,
PDC =MAS,50.0,45.0,85.0,25.0,20.0,35.0,63.75,0.0,
"Que discurso más barato ""grandes mayorías "" populista ridículo . Me da una gran pena por mi país tener estos socialista izqui… Ver más",65.0,60.0,85.0,20.0,15.0,25.0,73.0,-1.0,
Los que roban los votos y hacen fraude son ustedes,70.0,65.0,85.0,15.0,20.0,25.0,75.75,-1.0,
TUTO PRESIDENTE.,20.0,15.0,75.0,55.0,45.0,35.0,40.25,0.0,
POR Q HABLA ASI SI ESTA SEGURO USTED A Q TEME SI DICE Q LE APOYAN LOS BOLIVIANOS PPR Q ALARMARSE NO ENTIENDO PREOCUPESE COMO … Ver más,40.0,35.0,70.0,35.0,30.0,40.0,53.5,0.0,
"Nunca imaginé que hubiera más asnos que los masistas , pero este tipo es de lo peor , con razón el evismo hace lo que quiere ,… Ver más",75.0,80.0,85.0,10.0,15.0,20.0,82.0,-1.0,
Este tipo está peor q Lara 😂😂😂,55.0,60.0,70.0,20.0,15.0,25.0,68.25,-1.0,
Sin duda mi voto es para capitán Lara 🗳️,20.0,15.0,65.0,55.0,50.0,40.0,37.75,0.0,
TUTO PRESIDENTE... 🇧🇴,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
Jorge Quiroga Ramírez.🇧🇴,20.0,15.0,70.0,55.0,50.0,40.0,38.5,0.0,
tuto presidente,20.0,15.0,75.0,55.0,45.0,35.0,40.25,0.0,
Tuto presidente,20.0,15.0,75.0,55.0,45.0,35.0,40.25,0.0,
El mismo modos operante del MAS..,45.0,40.0,85.0,25.0,20.0,30.0,62.0,0.0,
SOLO TUTO GANAREMOS,25.0,20.0,80.0,50.0,45.0,35.0,44.25,0.0,
"Es claro que Rodrigo Paz se alio con el MAS porque su actuar, su falta de coherencia y propuestas son similares al anterior presidente Evo Morales",50.0,45.0,90.0,30.0,25.0,35.0,63.0,0.0,
Que desesperado está este hombre El Gran Mentiroso,60.0,65.0,75.0,20.0,15.0,25.0,71.25,-1.0,
Los masistas son expertos en hacer fraude.. claro que vamos a cuidar y vigilar el voto,45.0,40.0,85.0,30.0,35.0,40.0,58.5,0.0,
TUTO PRESIDENTE ❤️💛💚,15.0,10.0,75.0,60.0,55.0,45.0,35.0,0.0,
"De ellos nos tenemos que cuidar, de ellos muy bien puede haber fraude, porque sus aliados, son los que ganaron siempre en base… Ver más",55.0,50.0,90.0,25.0,20.0,30.0,67.25,-1.0,
Tuto presidente,20.0,15.0,75.0,55.0,45.0,35.0,40.25,0.0,
Tuto presidente,20.0,15.0,75.0,55.0,45.0,35.0,40.25,0.0,
Sinvergüenza acaso no sabemos en. Manos de quien está el TSE?,70.0,75.0,80.0,15.0,10.0,20.0,78.5,-1.0,
Para que vos no te robes el voto,60.0,65.0,75.0,20.0,15.0,25.0,71.25,-1.0,
TUTO PRESIDENTE,20.0,15.0,75.0,55.0,45.0,35.0,40.25,0.0,
Y a los que se queden a vigilar le vamos a dar un chicle para que se distraiga,45.0,40.0,70.0,30.0,25.0,35.0,57.75,0.0,
Excelente hay que cuidar el voto por qué los fraudulentos están camuflados en el PDC. Y van a querer hacer nuevamente fraude,50.0,45.0,85.0,30.0,35.0,40.0,60.75,0.0,
Este es un Evo junior parece q Lara le a estado pegando para que el inútil este hable así,70.0,75.0,80.0,15.0,10.0,20.0,78.5,-1.0,
"Rodrigo PDC masistas delincuentes, además de ser p'aspako, Demagogo, resultó ser tonto, los únicos que en Bolivia hacen fraude… Ver más",85.0,80.0,90.0,5.0,10.0,15.0,87.25,-1.0,
"Cuanto la paga! No nos pagan al igual que usted, sin trabajar cobra! El tiempo es oro!",65.0,70.0,75.0,20.0,15.0,25.0,73.5,-1.0,
Tuto presidente!!!!!!,20.0,15.0,75.0,55.0,45.0,35.0,40.25,0.0,
"Los unicos ladrones, mentirosos son rodrigomas y larilara",75.0,80.0,85.0,10.0,15.0,20.0,82.0,-1.0,
Tranquilo así será le darás su tunda a Kiko en las urnas y festejará con un cafecito y con chiclesito,40.0,35.0,70.0,35.0,30.0,40.0,53.5,0.0,
este recibió leche paterna para hablar tantas webadss,75.0,80.0,70.0,10.0,5.0,15.0,81.25,-1.0,
Tuto presidente,20.0,15.0,75.0,55.0,45.0,35.0,40.25,0.0,
Los Delincuentes son estos del Pdc y su mafia de Masistas. De esos hay q cuidar el Voto. Este Imbecil haciéndose la víctima.,80.0,85.0,90.0,5.0,10.0,15.0,87.0,-1.0,
Los fraudulentos son los del pdc,55.0,50.0,85.0,25.0,20.0,30.0,66.5,-1.0,
Sería el colmo si este personaje gana,50.0,55.0,75.0,25.0,20.0,30.0,64.75,0.0,
Tuto presidente,20.0,15.0,75.0,55.0,45.0,35.0,40.25,0.0,
Soy colla paceño y JP me representa,10.0,5.0,65.0,70.0,75.0,65.0,25.25,1.0,
Está muy desesperado,25.0,20.0,55.0,40.0,45.0,35.0,42.5,0.0,
Tuto presidente ❤️💛💚aunque les duela brutos de 💩🤮,75.0,80.0,70.0,15.0,10.0,20.0,79.25,-1.0,
En tarija hay tanto racismo y no hizo nada,35.0,30.0,60.0,45.0,40.0,35.0,47.25,0.0,
La verdad ya hasta me causa repudio escucharlo hablar...,60.0,55.0,65.0,25.0,20.0,15.0,67.25,-1.0,
PDC MAS DE LO MISMO.,45.0,40.0,70.0,30.0,25.0,20.0,59.25,0.0,
Masistas ya no queremos masistas....PAZ Y LARA SON MAS DE LO MISMO 💩💩💩,80.0,85.0,75.0,10.0,5.0,10.0,84.75,-1.0,
PAZ Y LARA 💪🏿,15.0,10.0,70.0,60.0,65.0,55.0,32.25,1.0,
"El español, ni siquiera nacido en Bolivia, paz , que discurso más barato",65.0,70.0,60.0,20.0,15.0,10.0,72.75,-1.0,
"Racismo ?, discriminacion ?, volvimos al 2020 cuando Evo usaba el mismo discurso para llegar a la presidencia, el PDC=MAS la misma miérd, los mismos discursos y la misma gente, que desgracia para el país volver a revivir lo mismo.",70.0,75.0,80.0,25.0,20.0,15.0,76.0,-1.0,
Paz alias el cantinflas ya entro en el juego sucio...,55.0,60.0,65.0,25.0,20.0,15.0,67.0,-1.0,
Mas insostenible mientras los politicos estan q dijo no dijo q hizo no hizo hasta cuando debemos soportar esta situacion....,50.0,45.0,60.0,35.0,30.0,25.0,58.0,0.0,
Paz y Lara Mucha fuerza,10.0,5.0,65.0,70.0,75.0,65.0,25.25,1.0,
Solo eso pueden hacer para Bolivia balbucear ya perdieron x tantas mentiras,60.0,65.0,70.0,20.0,15.0,10.0,72.0,-1.0,
"Los que más prometen unión son los peores. Provocan más separación entre collas y cambas, entre el campo y la ciudad. Ya hemos pasado eso, no se acuerdan? Con el MAS era lo mismo.",55.0,50.0,75.0,40.0,35.0,30.0,60.5,0.0,
Y CUANDO VA PARA TARIJA,20.0,15.0,55.0,45.0,40.0,35.0,39.75,0.0,
Para presentar su plan de trabajo que consiste en la venta de chicles y toda clase de dulce.,45.0,40.0,60.0,30.0,25.0,20.0,57.75,0.0,
"Nadie los quiere en Cochabamba, esta mañana estaban con su cara dura en la libertador Juan de la Rosa los masistas del PDC y la gente los abucheaba al pasar, ya sabemos que PDC significa Proceso De Cambio = MASISMO",65.0,70.0,75.0,20.0,15.0,10.0,75.0,-1.0,
No a los chicles,25.0,20.0,60.0,40.0,35.0,30.0,44.75,0.0,
No al narco,20.0,15.0,65.0,45.0,40.0,35.0,41.25,0.0,
Pura. Mentira,35.0,30.0,55.0,30.0,25.0,20.0,52.5,0.0,
Y mientras el pasea...quien ocupa su lugar de trabajo?,40.0,35.0,55.0,35.0,30.0,25.0,52.75,0.0,
"Ufff ya empezó lo del racismo y la discriminación Discurso evista. Un Ejemplo mi papa y mama son bien campesinos de esos que comen papa,chuño, mote comida de dioses dicen ello. Trabajaron durisimo muy pocas veces los vi desperdiciando dinero, en la vida hay que tener metas decian. Me siento orgullosa de ellos porque son bien campesinos nunca se sintieron menos nunca buscaron pegas políticas alguna vez apoyaron a un partido sin interés alguno sino con la esperanza de ver un cambio para el pais. El racismo solo esta en las personas que buscan una excusa para sacar provecho.",30.0,25.0,70.0,65.0,70.0,60.0,37.0,0.0,
Tuto presidente 🤨👍🏼,15.0,10.0,70.0,60.0,65.0,55.0,32.25,1.0,
Este medio red uno ya sabemos q es parcial con el mas,40.0,35.0,65.0,35.0,30.0,25.0,54.25,0.0,
Que irónico de los opas ir a a una universidad,50.0,55.0,60.0,25.0,20.0,15.0,64.0,0.0,
Su único discurso el racismo,35.0,30.0,65.0,35.0,30.0,25.0,52.0,0.0,
Tuto presidente ❤️,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
"LOS QUE ODIAN A LOS PROFESIONALES YENDO A UNIVERSIDADES ,CON QUE FIN A DECIRLES QUE NO ESTUDIEN???",55.0,60.0,65.0,25.0,20.0,15.0,67.0,-1.0,
TUTO PRESIDENTE 🇧🇴 👍,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
Puro masista,40.0,35.0,70.0,30.0,25.0,20.0,57.0,0.0,
No a las historietas de chicles,25.0,20.0,60.0,40.0,35.0,30.0,44.75,0.0,
Y para que va a las universidades si los profesionales son corruptos esta yendo a ver cuales se va a expropiar para hacer lugares de venta de chicles,55.0,60.0,65.0,25.0,20.0,15.0,67.0,-1.0,
"Igual que su padre,se ocupó de saquear al país",65.0,70.0,60.0,20.0,15.0,10.0,72.75,-1.0,
Que vaya a terminar sus puentes en tarija,35.0,30.0,55.0,40.0,35.0,30.0,48.5,0.0,
Charlatan a toda maquina. Subestima a lls Bolivianos. Si gana. Es preocupante la situación económica. Esta perdido..,50.0,45.0,60.0,35.0,30.0,25.0,58.0,0.0,
Que se puede esperar de los corruptos,45.0,40.0,65.0,30.0,25.0,20.0,58.5,0.0,
Tuto presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
Cuidar el voto,15.0,10.0,60.0,55.0,60.0,50.0,32.75,1.0,
El chicles en Cochabamba,25.0,20.0,60.0,40.0,35.0,30.0,44.75,0.0,
Este sujeto usa la palabra racismo igual que el pedofilo solo siembra odio,70.0,75.0,65.0,15.0,10.0,5.0,77.75,-1.0,
PARASITO..... GANA DINERO DEL ESTADO SIN TRABAJAR,65.0,70.0,60.0,20.0,15.0,10.0,72.75,-1.0,
Que racismo obra de los maléficos de paz y lara,55.0,60.0,65.0,25.0,20.0,15.0,67.0,-1.0,
Y este partido PDC son Masistas camuflados corruptos.,60.0,65.0,70.0,20.0,15.0,10.0,72.0,-1.0,
"Este imbecil ya no sabe más que decir.los únicos que discriminan y siembran odio, envidia y racismo son los zurdos.",75.0,80.0,70.0,15.0,10.0,5.0,80.75,-1.0,
Tuto presidente de bolivia 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
Muy bien Rodrigo paz presidente porque el país necesita una persona que gobierne para todos,15.0,10.0,65.0,70.0,75.0,65.0,27.5,1.0,
Demagogo incapaz,45.0,40.0,60.0,25.0,20.0,15.0,59.75,0.0,
🫏🫏🫏 de 💩💩🤡🤡🦙🦙🦙💩🤮🤮🤮🤮,80.0,85.0,70.0,10.0,5.0,5.0,84.5,-1.0,
"En vez de hablar de propuestas y de un plan de gobierno, necesita buscarse un enemigo, clásico discurso populista de sembrar odio al mero estilo comunista Linera. 🤡",60.0,65.0,75.0,30.0,25.0,20.0,68.75,-1.0,
Tuto Presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
La unidad Rodrigo presidente ♥️💛💚,15.0,10.0,65.0,70.0,75.0,65.0,27.5,1.0,
Tuto presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
Paz charlatán,40.0,35.0,60.0,30.0,25.0,20.0,55.5,0.0,
TUTO PRESIDENTE,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
"No al masismo, el mismo discurso de evaristo mamani, no tiene propuesta pura falacia, demagogia y populista , no queremos comunismo tampoco socialismo viva Bolivia libre!!!",55.0,60.0,75.0,35.0,30.0,25.0,64.5,0.0,
Vamos Rodrigo siiiiii la gente umilde trabajador honesto dicno Cochabambinos te espera seas un ejemplo carajo !!!!!,20.0,15.0,65.0,70.0,75.0,65.0,29.75,1.0,
No te queremos,35.0,30.0,60.0,30.0,25.0,20.0,53.25,0.0,
TUTO PRESIDENTE 🇧🇴🇧🇴🇧🇴,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
Seguro fue a promocionar su emprendimiento de chicles,35.0,30.0,60.0,35.0,30.0,25.0,51.25,0.0,
Quiero chicle!!!!,20.0,15.0,55.0,45.0,40.0,35.0,39.75,0.0,
"Tuto y Juan Pablo Velasco deben ganar las elecciones no hay otra alternativa!!! Personas con mucha educación , cultura y bastante experiencia!! Tuto Lo demostró con hechos salvo a Bolivia 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴 una vez de la deuda externa que dejaron otros gobiernos, etc…",15.0,10.0,70.0,75.0,80.0,70.0,26.25,1.0,
Tuto Presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
Intensas reuniones en el Chapare! 🧐,25.0,20.0,65.0,40.0,35.0,30.0,45.5,0.0,
ES TEATRO LO. QUE HACE RODRIGO. SU ACOMPAÑANTE LARA DIJO QUE PREFIERE GENTE SIN ESTUDIOS PARA GOBERNAR TRANQUILO,50.0,55.0,65.0,30.0,25.0,20.0,62.75,0.0,
Tuto presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
Para estupideces..lo único que buscan es el enfrentamiento..estos masistas ...amarra watos,60.0,65.0,70.0,20.0,15.0,10.0,72.0,-1.0,
Rodrigo paz presidente LARA. VICE presidente,15.0,10.0,65.0,70.0,75.0,65.0,27.5,1.0,
Lacra,45.0,40.0,60.0,25.0,20.0,15.0,59.75,0.0,
DA ASC VERLO AL GALLO 🐓 VEND Y AL BOCOTAS LARI,55.0,60.0,65.0,25.0,20.0,15.0,67.0,-1.0,
Noo al PDC línea de zurdos.,40.0,35.0,70.0,30.0,25.0,20.0,57.0,0.0,
Cero propuesta !!,35.0,30.0,55.0,30.0,25.0,20.0,52.5,0.0,
A quien le interesa este demagogo que no sabe ni responder a los periodistas no tienen un buen plan para salvar Bolivia solo improvisaciones y quiere gobernar con su partido socialista,55.0,60.0,70.0,30.0,25.0,20.0,65.75,0.0,
"Todo lo que habla este tipo es mentira, como lo del chicle",45.0,40.0,60.0,30.0,25.0,20.0,57.75,0.0,
Codigo revista no al racismo y después niegan haber pactado?,40.0,35.0,65.0,35.0,30.0,25.0,54.25,0.0,
"Mismo tipo de actuar del azulino mayor,hacerse el víctima y llorar.",50.0,55.0,65.0,25.0,20.0,15.0,64.75,0.0,
"Lo que hace Rodrigo es guerra sucia, sabiendo que ese Twitter es falso, mi voto será por el mejor Tuto presidente, aunque el Twitter sea verdad.",35.0,30.0,70.0,50.0,45.0,40.0,46.75,0.0,
Él Racismo lo ase tu Binomió .,40.0,35.0,65.0,35.0,30.0,25.0,54.25,0.0,
Llegó Evo,20.0,15.0,70.0,45.0,40.0,35.0,42.0,0.0,
Allá ellos,25.0,20.0,55.0,40.0,35.0,30.0,44.0,0.0,
"No al racismo no a la división, NO AL MENSAJE DEL PINOCHO PAZ Y NO A SUS CHICLES",45.0,40.0,65.0,35.0,30.0,25.0,56.5,0.0,
"Desde que empezaron su campaña estos laras nunca me agrado , no tienen un contenido bien estipulado , solo se dedican a inventarse ciertas expresiones la ucla luego se lo hechan al vecino diciendo que yo no fui . Osea estos sres, son realmente más masistas que masistas",50.0,45.0,70.0,35.0,30.0,25.0,59.5,0.0,
Tarija nadie lo quiere por flojo,40.0,35.0,60.0,30.0,25.0,20.0,55.5,0.0,
Tuto Presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
Así empezó Evo,25.0,20.0,70.0,40.0,35.0,30.0,46.25,0.0,
No ira por terror,35.0,30.0,60.0,35.0,30.0,25.0,51.25,0.0,
Rodrigo Mas = otro tilin,40.0,35.0,65.0,30.0,25.0,20.0,56.25,0.0,
Y los Chicles?,20.0,15.0,55.0,45.0,40.0,35.0,39.75,0.0,
Rodrigo presidente,15.0,10.0,65.0,70.0,75.0,65.0,27.5,1.0,
Tuto presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
como dice eso cuando antes dijo prefiero a la gente sin estudios jajjajaja,40.0,35.0,65.0,35.0,30.0,25.0,54.25,0.0,
"Siempre destilando veneno, sembrar p cosechar odio",60.0,65.0,65.0,20.0,15.0,10.0,71.25,-1.0,
Todo cochabamba es masista,30.0,25.0,70.0,35.0,30.0,25.0,50.5,0.0,
"Un camba no le puede decir 11ac0 a ellos, pero ellos si pueden decir Camba, pisotear y quemar la bandera Cruceña y no es racismo. Entonces de qué racismo hablan? Del que le convienen a los masistas o qué?",50.0,45.0,75.0,45.0,40.0,35.0,56.25,0.0,
No a los que roban como Rodrigo en su propio pueblo Tarija corrupto cobras sin trabajar plata de los Bolivianos simberguenza,65.0,70.0,60.0,20.0,15.0,10.0,72.75,-1.0,
Que ba ganar con eso ba comer,35.0,30.0,55.0,35.0,30.0,25.0,50.5,0.0,
Vayanse ala mierd i son loz primero en ser razista esto comunista flojonasos,75.0,80.0,70.0,15.0,10.0,5.0,80.75,-1.0,
"Primero q deje de repartir chicles y hablé de manera coherente, pero q sea claro en sus propuestas",35.0,30.0,60.0,50.0,45.0,40.0,45.25,0.0,
Tuto Presidente.,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0,
"Igualito al Evofilo, no permite que le hagan preguntas que no sabe responder...",60.0,55.0,80.0,20.0,15.0,25.0,70.0,-1.0,
"Está pidiendo que les pasen las preguntas, para estudiarlas y poder responderlas!! 🤣🤣",50.0,45.0,75.0,25.0,20.0,30.0,62.75,0.0,
Esto se llama cobardía 😅😅😅,55.0,60.0,70.0,20.0,15.0,25.0,68.25,-1.0,
Y si no se concede tu capricho???? No habrá debate????,60.0,55.0,75.0,25.0,20.0,30.0,67.25,-1.0,
El q esta preparado no tiene miedo a nada,35.0,30.0,65.0,40.0,35.0,45.0,48.5,0.0,
Cuando una persona no es preparada intelectualmente es normal que evite enfrentar un debate por ejemplo.,40.0,35.0,70.0,35.0,30.0,40.0,53.5,0.0,
"Con moderadores vendidos como Jimena Antelo y Pumacusi, quien es el para colocar sus condiciones",70.0,65.0,85.0,15.0,20.0,25.0,75.75,-1.0,
No tiene capacidad de debatir con argumento y propuesta. Así se escapan cuando saben que van a ridiculizarlos en público .,55.0,50.0,80.0,25.0,20.0,30.0,65.75,0.0,
Cómo todo capibara le da miedo debatir,65.0,70.0,75.0,15.0,10.0,20.0,75.5,-1.0,
Va llorar.... Va llorar... Va llorar... Va llorar...,60.0,65.0,70.0,10.0,5.0,15.0,74.5,-1.0,
"En otras palabras, tiene miedo",45.0,40.0,75.0,30.0,25.0,35.0,58.5,0.0,
Tiene miedo,40.0,35.0,70.0,35.0,30.0,40.0,53.5,0.0,
Se orino,65.0,70.0,65.0,15.0,10.0,20.0,74.0,-1.0,
Claro q si Evo junior 👍🏾,55.0,60.0,85.0,20.0,15.0,25.0,70.5,-1.0,
Tiene miedo el OPA,60.0,65.0,75.0,15.0,10.0,20.0,73.25,-1.0,
"El debate del TSE debe ser obligatorio, la asistencia de los candidatos es impresindible 🤷 o como vamos a conocer sus propu… Ver más",30.0,25.0,65.0,55.0,50.0,45.0,41.75,0.0,
"Solo puede hablar cuando está con sus tutores Evo, Moldiz, Linera, Chávez, Quintana, Romero, Torrico Héctor Arce, Loza, porque… Ver más",70.0,65.0,90.0,15.0,20.0,25.0,76.5,-1.0,
ASESORADO POR EL PEDOF,75.0,80.0,85.0,5.0,10.0,15.0,84.0,-1.0,
Quiere que Holguín sea el Moderador,45.0,40.0,75.0,30.0,25.0,35.0,58.5,0.0,
Pispis,60.0,65.0,70.0,15.0,10.0,20.0,72.5,-1.0,
"Plurales como los movimientos sociales y bartolinas, moderadores de buen corazón y que no sean profesionales para que haya de-… Ver más",50.0,45.0,80.0,25.0,20.0,30.0,63.5,0.0,
"Puede ser una imagen de texto que dice """"Llegará el día en que la inteligencia será despreciada yy la estupidez será adorada.' Saramago.""",35.0,30.0,65.0,40.0,35.0,45.0,48.5,0.0,
Es normal esa petición de alguien que no sabe donde está parado y no tiene un mínimo de conocimiento de cifras macro/micro eco… Ver más,45.0,40.0,75.0,30.0,25.0,35.0,58.5,0.0,
Tuto Presidente de Bolivia para salvarnos de éste problema económico que nos dejan los del más,25.0,20.0,80.0,50.0,45.0,35.0,44.25,0.0,
Opa,55.0,60.0,70.0,20.0,15.0,25.0,68.25,-1.0,
Es un verdadero opa!!!,65.0,70.0,75.0,15.0,10.0,20.0,75.5,-1.0,
No quedrá que el debate sea en su casa y que le den antes todas las preguntas y que su esposa pegue a todo aquel que hable con… Ver más,60.0,55.0,75.0,20.0,15.0,25.0,69.25,-1.0,
Del que menos se piensa se espera mucho,30.0,25.0,65.0,45.0,40.0,50.0,44.25,0.0,
Es la repetición de Evo. Lo peor es que aún hay gente ignorante que votará por él.,55.0,50.0,85.0,25.0,20.0,30.0,66.5,-1.0,
Mas claro que no lo hará,40.0,35.0,75.0,35.0,30.0,40.0,54.25,0.0,
Se cree tan importante ese zonso,60.0,65.0,70.0,15.0,10.0,20.0,72.5,-1.0,
Hay hay edman lara..,50.0,55.0,75.0,25.0,20.0,30.0,64.75,0.0,
Osea si le hacen una pregunta sobre como sacará a bolivia de las Crisis y no puede responder tienen que hacer otra más fácil p… Ver más,45.0,40.0,80.0,30.0,25.0,35.0,59.25,0.0,
Q se cree este tipo opa,60.0,65.0,75.0,15.0,10.0,20.0,73.25,-1.0,
que se haga un debate de verdad con condiciones iguales y sin favoritismos,35.0,30.0,65.0,55.0,50.0,45.0,44.0,0.0,
Tiene miedo tiene miedo 😂😂,50.0,55.0,70.0,20.0,15.0,25.0,66.0,0.0,
tienen razón al decir que es un KEWA.,60.0,65.0,75.0,15.0,10.0,20.0,73.25,-1.0,
Jajajajaj no ira de seguro achacara a la prensa que se organizara con la oposicion para sacarle las preguntas,55.0,50.0,80.0,20.0,15.0,25.0,67.75,-1.0,
Pobre Opa se le subió los humos.,60.0,65.0,70.0,15.0,10.0,20.0,72.5,-1.0,
Ya no sabe qué inventar para salir del paso....es que para debatir hay que saber...y este pobre nada de nada más que chismes,55.0,50.0,80.0,25.0,20.0,30.0,65.75,0.0,
Mientras más arrogante... Más demuestra la clase de gente que es....,50.0,45.0,75.0,30.0,25.0,35.0,60.75,0.0,
Con ese bono de 2000 trabajaré para los muchachos de PDC daré dos o más obras mías,40.0,35.0,70.0,35.0,30.0,40.0,53.5,0.0,
Payaso 🤡 🤡,65.0,70.0,65.0,10.0,5.0,15.0,76.0,-1.0,
"Este está bien amaestrado por el Narcopedofilo, quiere saber las preguntas con anticipación para que estudie 🤣🤣🤣🤣",75.0,80.0,85.0,5.0,10.0,15.0,84.0,-1.0,
Solo mierdazos y carajazos salen de su boca de este tipo después para debatir ideas en un debate no le hace,80.0,85.0,75.0,5.0,0.0,10.0,86.25,-1.0,
"Pobre ignorante, como se nos ocurre considerar candidatos con este nivel de ignorancia, por eso estamos como estamos, este hom… Ver más",60.0,55.0,80.0,25.0,20.0,30.0,68.0,-1.0,
Este Lara en la primera vuelta igual le ha pedido a JP debatir en el mercado y no fue porque es un cobarde 😡😡😡 mentiroso 😡😡😡 ignorante 😡😡😡,70.0,75.0,80.0,15.0,10.0,20.0,78.5,-1.0,
Ya se está corriendo con mariconadas no vale,65.0,70.0,70.0,10.0,5.0,15.0,76.75,-1.0,
Este opa que cree para poner condiciones Paco desertór desquiciado,75.0,80.0,75.0,10.0,5.0,15.0,82.0,-1.0,
No tiene pantalones este lari,60.0,65.0,75.0,15.0,10.0,20.0,73.25,-1.0,
este desubicado de la realidad del pais que va a poder debatir,55.0,50.0,80.0,25.0,20.0,30.0,65.75,0.0,
"Este pobre hombre, quiere que los moderadores sean de las organizaciones sociales o sea con los que son más ignorantes y racistas que el.",65.0,70.0,85.0,20.0,15.0,25.0,75.0,-1.0,
El que Nada tiene nada teme.,35.0,30.0,70.0,40.0,35.0,45.0,49.25,0.0,
Burro ya quiere correrse,60.0,65.0,70.0,15.0,10.0,20.0,72.5,-1.0,
Maricueca 😒😒😒😒,70.0,75.0,65.0,10.0,5.0,15.0,78.25,-1.0,
OPA...,55.0,60.0,70.0,20.0,15.0,25.0,68.25,-1.0,
Este si quiere hacer lo q el quiere andate à la M,65.0,70.0,75.0,15.0,10.0,20.0,75.5,-1.0,
